"id","orderId","date","timestamp","symbol","type","price","amount","total","fee","feeCoin","category","period","tradeType","baseCoin","isShift","note"
"7049375","46053044","21.05.2021 18:24:46","1621610686945","TWTBTC","BUY","0.00001398",200,0.002796,0.000002796,"BTC","spot-classic","period-00","closed","BTC",1,"Спот-сделка классическая (не по сигналу) перевести в BTC"
"21344330","254459686","23.07.2021 13:57:21","1627037841121","ALGOUSDT","BUY","0.78410000",50,39.205,0.039205,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21350383","254464730","23.07.2021 22:13:23","1627067603849","ALGOUSDT","BUY","0.77480000",30,23.244,0.023244,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21371128","254462216","25.07.2021 15:00:14","1627214414506","ALGOUSDT","BUY","0.80720000",30,24.216,0.024216,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21404566","254462339","26.07.2021 16:34:22","1627306462333","ALGOUSDT","BUY","0.88010000",30,26.403,0.026403,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21404567","254464755","26.07.2021 16:34:22","1627306462333","ALGOUSDT","BUY","0.88010000",30,26.403,0.026403,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21407760","254464789","26.07.2021 19:39:34","1627317574195","ALGOUSDT","BUY","0.88530000",30,26.558999999999997,0.026558999999999996,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21428882","254464913","27.07.2021 19:52:38","1627404758358","ALGOUSDT","BUY","0.82500000",20,16.5,0.0165,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"32720206","223062989","04.08.2021 16:04:40","1628082280159","MATICUSDT","BUY","1.03745000",183,189.85335,0.18985335,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"32720207","223062989","04.08.2021 16:04:42","1628082282957","MATICUSDT","BUY","1.03745000",32,33.1984,0.0331984,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"32720208","223062989","04.08.2021 16:04:43","1628082283077","MATICUSDT","BUY","1.03745000",285,295.67325,0.29567325,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"32720589","223063104","04.08.2021 16:16:59","1628083019370","MATICUSDT","BUY","1.03804000",500,519.02,0.51902,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"11573346","113809320","04.08.2021 16:30:56","1628083856092","WRXUSDT","BUY","1.08220000",281,304.0982,0.30409820000000004,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"11573347","113809320","04.08.2021 16:30:56","1628083856264","WRXUSDT","BUY","1.08220000",219,237.0018,0.2370018,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"21524299","258037349","04.08.2021 16:32:08","1628083928552","ALGOUSDT","BUY","0.83170000",55,45.7435,0.0457435,"USDT","spot-classic","period-00","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"61320046","443423011","14.08.2021 21:56:19","1628967379433","TRXUSDT","BUY","0.09130000",5010,457.413,0.457413,"USDT","spot-classic","period-01","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"8759303","50612835","17.08.2021 09:09:26","1629180566372","SUPERBTC","SELL","0.00002363",162.531,0.00384060753,0.00000384060753,"BTC","spot-signal","period-01","closed","BTC",1,"Спот-сделка по сигналу перевести в BTC"
"8759321","50612835","17.08.2021 09:09:32","1629180572019","SUPERBTC","SELL","0.00002363",577.469,0.01364559247,0.00001364559247,"BTC","spot-signal","period-01","closed","BTC",1,"Спот-сделка по сигналу перевести в BTC"
"61624009","450267412","31.08.2021 01:21:35","1630362095474","TRXUSDT","SELL","0.08772000",9400,824.5680000000001,0.8245680000000001,"USDT","spot-classic","period-01","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7536266","187282908","28.10.2021 15:37:28","1635424648725","1INCHUSDT","BUY","5.14800000",300,1544.3999999999999,1.5443999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7536267","187282908","28.10.2021 15:37:28","1635424648730","1INCHUSDT","BUY","5.14800000",750,3860.9999999999995,3.8609999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7536268","187282908","28.10.2021 15:37:28","1635424648742","1INCHUSDT","BUY","5.14800000",750,3860.9999999999995,3.8609999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7536269","187282908","28.10.2021 15:37:28","1635424648749","1INCHUSDT","BUY","5.14800000",200,1029.6,1.0295999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553792","187272751","29.10.2021 03:13:34","1635466414494","1INCHUSDT","BUY","5.01500000",190.6,955.8589999999999,0.9558589999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553793","187272751","29.10.2021 03:13:34","1635466414494","1INCHUSDT","BUY","5.01500000",48.5,243.2275,0.24322749999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553794","187272751","29.10.2021 03:13:34","1635466414509","1INCHUSDT","BUY","5.01500000",12.5,62.68749999999999,0.0626875,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553795","187272751","29.10.2021 03:13:35","1635466415227","1INCHUSDT","BUY","5.01500000",180,902.6999999999999,0.9027,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553796","187272751","29.10.2021 03:13:35","1635466415248","1INCHUSDT","BUY","5.01500000",141.8,711.1270000000001,0.7111270000000001,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553797","187272751","29.10.2021 03:13:35","1635466415282","1INCHUSDT","BUY","5.01500000",170,852.55,0.8525499999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553798","187272751","29.10.2021 03:13:36","1635466416751","1INCHUSDT","BUY","5.01500000",117.7,590.2655,0.5902655,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553799","187272751","29.10.2021 03:13:37","1635466417566","1INCHUSDT","BUY","5.01500000",115.6,579.7339999999999,0.579734,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553800","187272751","29.10.2021 03:13:37","1635466417658","1INCHUSDT","BUY","5.01500000",3,15.044999999999998,0.015044999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553801","187272751","29.10.2021 03:13:37","1635466417669","1INCHUSDT","BUY","5.01500000",1451,7276.764999999999,7.276764999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553802","187272751","29.10.2021 03:13:37","1635466417953","1INCHUSDT","BUY","5.01500000",4,20.06,0.020059999999999998,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553803","187272751","29.10.2021 03:13:38","1635466418068","1INCHUSDT","BUY","5.01500000",123.9,621.3584999999999,0.6213584999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553804","187272751","29.10.2021 03:13:38","1635466418178","1INCHUSDT","BUY","5.01500000",117,586.755,0.586755,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553805","187272751","29.10.2021 03:13:38","1635466418212","1INCHUSDT","BUY","5.01500000",110.5,554.1574999999999,0.5541574999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553806","187272751","29.10.2021 03:13:38","1635466418221","1INCHUSDT","BUY","5.01500000",104.3,523.0645,0.5230644999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553807","187272751","29.10.2021 03:13:38","1635466418228","1INCHUSDT","BUY","5.01500000",98.6,494.4789999999999,0.49447899999999995,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553808","187272751","29.10.2021 03:13:38","1635466418281","1INCHUSDT","BUY","5.01500000",217.8,1092.267,1.092267,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553809","187272751","29.10.2021 03:13:38","1635466418318","1INCHUSDT","BUY","5.01500000",100.4,503.506,0.503506,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553810","187272751","29.10.2021 03:13:38","1635466418533","1INCHUSDT","BUY","5.01500000",197.9,992.4685,0.9924685,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553811","187272751","29.10.2021 03:13:38","1635466418542","1INCHUSDT","BUY","5.01500000",186.9,937.3035,0.9373035,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7553812","187272751","29.10.2021 03:13:38","1635466418549","1INCHUSDT","BUY","5.01500000",8,40.12,0.040119999999999996,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7566812","187893586","29.10.2021 16:14:29","1635513269378","1INCHUSDT","BUY","4.93200000",729.9,3599.8668000000002,3.5998668,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7566813","187893586","29.10.2021 16:14:29","1635513269381","1INCHUSDT","BUY","4.93200000",177.8,876.9096000000001,0.8769096000000001,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7566814","187893586","29.10.2021 16:14:29","1635513269383","1INCHUSDT","BUY","4.93200000",92.3,455.22360000000003,0.4552236,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7575025","187893770","30.10.2021 06:55:42","1635566142159","1INCHUSDT","BUY","4.90100000",18.7,91.64869999999999,0.09164869999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7575026","187893770","30.10.2021 06:55:42","1635566142159","1INCHUSDT","BUY","4.90100000",9,44.108999999999995,0.044108999999999995,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7575038","187893770","30.10.2021 06:55:44","1635566144048","1INCHUSDT","BUY","4.90100000",472.3,2314.7423,2.3147423,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7581759","187893788","30.10.2021 17:44:04","1635605044574","1INCHUSDT","BUY","4.67400000",288.8,1349.8512,1.3498512,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7581760","187893788","30.10.2021 17:44:04","1635605044657","1INCHUSDT","BUY","4.67400000",211.2,987.1488,0.9871488,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7586198","187893811","31.10.2021 01:34:37","1635633277177","1INCHUSDT","BUY","4.59500000",500,2297.5,2.2975,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588631","187893883","31.10.2021 04:22:00","1635643320873","1INCHUSDT","BUY","4.55900000",100.1,456.35589999999996,0.4563559,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588637","187893883","31.10.2021 04:22:54","1635643374013","1INCHUSDT","BUY","4.55900000",17.3,78.8707,0.0788707,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588641","187893883","31.10.2021 04:23:23","1635643403563","1INCHUSDT","BUY","4.55300000",34,154.802,0.154802,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588643","187893883","31.10.2021 04:23:56","1635643436800","1INCHUSDT","BUY","4.55300000",1.7,7.7401,0.0077401,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588646","187893883","31.10.2021 04:24:05","1635643445382","1INCHUSDT","BUY","4.55900000",2.3,10.4857,0.010485699999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588650","187893883","31.10.2021 04:24:20","1635643460099","1INCHUSDT","BUY","4.55900000",2.5,11.3975,0.011397500000000001,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588653","187893883","31.10.2021 04:24:44","1635643484634","1INCHUSDT","BUY","4.55900000",8.3,37.83970000000001,0.03783970000000001,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7588654","187893883","31.10.2021 04:24:56","1635643496390","1INCHUSDT","BUY","4.55900000",333.8,1521.7942,1.5217942,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644152","190107431","03.11.2021 12:53:08","1635933188673","1INCHUSDT","BUY","4.53700000",950.1,4310.6037,4.3106037,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644155","190107431","03.11.2021 12:53:33","1635933213228","1INCHUSDT","BUY","4.53700000",6.6,29.9442,0.029944199999999997,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644159","190107431","03.11.2021 12:54:29","1635933269459","1INCHUSDT","BUY","4.53600000",2.1,9.525599999999999,0.009525599999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644165","190107431","03.11.2021 12:55:57","1635933357206","1INCHUSDT","BUY","4.54100000",5.1,23.1591,0.0231591,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644166","190107431","03.11.2021 12:56:02","1635933362332","1INCHUSDT","BUY","4.54200000",5.7,25.8894,0.0258894,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644167","190107431","03.11.2021 12:56:09","1635933369654","1INCHUSDT","BUY","4.54200000",30.4,138.0768,0.1380768,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644268","190107468","03.11.2021 13:10:31","1635934231700","1INCHUSDT","BUY","4.52400000",157.1,710.7203999999999,0.7107203999999999,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644271","190107468","03.11.2021 13:11:14","1635934274096","1INCHUSDT","BUY","4.52500000",44.7,202.26750000000004,0.20226750000000004,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644274","190107468","03.11.2021 13:11:30","1635934290351","1INCHUSDT","BUY","4.52500000",106.9,483.7225000000001,0.48372250000000006,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644286","190107468","03.11.2021 13:11:52","1635934312960","1INCHUSDT","BUY","4.52500000",43.5,196.8375,0.1968375,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644288","190107468","03.11.2021 13:12:10","1635934330524","1INCHUSDT","BUY","4.53200000",4.6,20.847199999999997,0.020847199999999996,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644289","190107468","03.11.2021 13:12:13","1635934333061","1INCHUSDT","BUY","4.53200000",572.7,2595.4764,2.5954764,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644290","190107468","03.11.2021 13:12:13","1635934333397","1INCHUSDT","BUY","4.53200000",55.2,250.1664,0.2501664,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7644291","190107468","03.11.2021 13:12:13","1635934333717","1INCHUSDT","BUY","4.53200000",15.3,69.3396,0.0693396,"USDT","spot-classic","period-03","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827810","195628448","21.11.2021 18:46:05","1637509565054","1INCHUSDT","BUY","3.99600000",145.4,581.0184,0.5810184,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827835","195628903","21.11.2021 18:48:04","1637509684317","1INCHUSDT","BUY","4.00700000",2.9,11.620299999999999,0.011620299999999998,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827836","195628903","21.11.2021 18:48:04","1637509684317","1INCHUSDT","BUY","4.00700000",7.5,30.0525,0.0300525,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827837","195628903","21.11.2021 18:48:04","1637509684317","1INCHUSDT","BUY","4.00700000",2,8.014,0.008013999999999999,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827838","195628903","21.11.2021 18:48:16","1637509696275","1INCHUSDT","BUY","4.00700000",50,200.35,0.20035,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827839","195628903","21.11.2021 18:48:16","1637509696289","1INCHUSDT","BUY","4.00700000",137.6,551.3631999999999,0.5513631999999999,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827840","195628903","21.11.2021 18:48:16","1637509696296","1INCHUSDT","BUY","4.00700000",1800,7212.599999999999,7.212599999999999,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827876","195629304","21.11.2021 18:50:13","1637509813331","1INCHUSDT","BUY","4.00800000",640,2565.12,2.56512,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7827877","195629304","21.11.2021 18:50:13","1637509813339","1INCHUSDT","BUY","4.00800000",1360,5450.88,5.45088,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7828772","195640762","21.11.2021 19:15:14","1637511314981","1INCHUSDT","BUY","3.99500000",93,371.535,0.371535,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7828773","195640762","21.11.2021 19:15:14","1637511314981","1INCHUSDT","BUY","3.99500000",16.2,64.719,0.064719,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7828774","195640762","21.11.2021 19:15:14","1637511314981","1INCHUSDT","BUY","3.99500000",890.8,3558.746,3.558746,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7830897","195641232","21.11.2021 20:14:04","1637514844712","1INCHUSDT","BUY","4.03300000",1000,4033.0000000000005,4.033,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7843364","195641285","22.11.2021 08:09:21","1637557761560","1INCHUSDT","BUY","3.77800000",301.6,1139.4448,1.1394448,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7843365","195641285","22.11.2021 08:09:21","1637557761562","1INCHUSDT","BUY","3.77800000",640,2417.92,2.41792,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
"7843366","195641285","22.11.2021 08:09:21","1637557761569","1INCHUSDT","BUY","3.77800000",58.4,220.6352,0.2206352,"USDT","spot-classic","period-04","closed","USDT",1,"Спот-сделка классическая (не по сигналу) перевести в USDT"
